Date,Close,High,Low,Open,Volume,Asset
2022-01-01,47686.8125,47827.3125,46288.484375,46311.74609375,24582667004,BTC-USD
2022-01-02,47345.21875,47881.40625,46856.9375,47680.92578125,27951569547,BTC-USD
2022-01-03,46458.1171875,47510.7265625,45835.96484375,47343.54296875,33071628362,BTC-USD
2022-01-04,45897.57421875,47406.546875,45752.46484375,46458.8515625,42494677905,BTC-USD
2022-01-05,43569.00390625,46929.046875,42798.22265625,45899.359375,36851084859,BTC-USD
2022-01-06,43160.9296875,43748.71875,42645.5390625,43565.51171875,30208048289,BTC-USD
2022-01-07,41557.90234375,43153.5703125,41077.4453125,43153.5703125,84196607520,BTC-USD
2022-01-08,41733.94140625,42228.94140625,40672.27734375,41561.46484375,28066355845,BTC-USD
2022-01-09,41911.6015625,42663.94921875,41338.16015625,41734.7265625,21294384372,BTC-USD
2022-01-10,41821.26171875,42199.484375,39796.5703125,41910.23046875,32104232331,BTC-USD
2022-01-11,42735.85546875,43001.15625,41407.75390625,41819.5078125,26327648900,BTC-USD
2022-01-12,43949.1015625,44135.3671875,42528.98828125,42742.1796875,33499938689,BTC-USD
2022-01-13,42591.5703125,44278.421875,42447.04296875,43946.7421875,47691135082,BTC-USD
2022-01-14,43099.69921875,43346.6875,41982.6171875,42598.87109375,23577403399,BTC-USD
2022-01-15,43177.3984375,43724.671875,42669.03515625,43101.8984375,18371348298,BTC-USD
2022-01-16,43113.87890625,43436.80859375,42691.0234375,43172.0390625,17902097845,BTC-USD
2022-01-17,42250.55078125,43179.390625,41680.3203125,43118.12109375,21690904261,BTC-USD
2022-01-18,42375.6328125,42534.40234375,41392.21484375,42250.07421875,22417209227,BTC-USD
2022-01-19,41744.328125,42478.3046875,41242.9140625,42374.0390625,23091543258,BTC-USD
2022-01-20,40680.41796875,43413.0234375,40672.82421875,41744.02734375,20382033940,BTC-USD
2022-01-21,36457.31640625,41060.52734375,35791.42578125,40699.60546875,43011992031,BTC-USD
2022-01-22,35030.25,36688.8125,34349.25,36471.58984375,39714385405,BTC-USD
2022-01-23,36276.8046875,36433.3125,34784.96875,35047.359375,26017975951,BTC-USD
2022-01-24,36654.328125,37247.51953125,33184.05859375,36275.734375,41856658597,BTC-USD
2022-01-25,36954.00390625,37444.5703125,35779.4296875,36654.8046875,26428189594,BTC-USD
2022-01-26,36852.12109375,38825.41015625,36374.90625,36950.515625,31324598034,BTC-USD
2022-01-27,37138.234375,37148.32421875,35629.28125,36841.87890625,25041426629,BTC-USD
2022-01-28,37784.33203125,37952.87890625,36211.109375,37128.4453125,22238830523,BTC-USD
2022-01-29,38138.1796875,38576.26171875,37406.47265625,37780.71484375,17194183075,BTC-USD
2022-01-30,37917.6015625,38266.33984375,37437.7109375,38151.91796875,14643548444,BTC-USD
2022-01-31,38483.125,38647.26171875,36733.57421875,37920.28125,20734730465,BTC-USD
2022-02-01,38743.2734375,39115.1328125,38113.6640625,38481.765625,20288500328,BTC-USD
2022-02-02,36952.984375,38834.6171875,36832.73046875,38743.71484375,19155189416,BTC-USD
2022-02-03,37154.6015625,37154.6015625,36375.5390625,36944.8046875,18591534769,BTC-USD
2022-02-04,41500.875,41527.78515625,37093.62890625,37149.265625,29412210792,BTC-USD
2022-02-05,41441.1640625,41847.1640625,41038.09765625,41501.48046875,19652846215,BTC-USD
2022-02-06,42412.43359375,42500.78515625,41244.90625,41441.12109375,16142097334,BTC-USD
2022-02-07,43840.28515625,44401.86328125,41748.15625,42406.78125,28641855926,BTC-USD
2022-02-08,44118.4453125,45293.8671875,42807.8359375,43854.65234375,33079398868,BTC-USD
2022-02-09,44338.796875,44727.80078125,43232.96875,44096.703125,23245887300,BTC-USD
2022-02-10,43565.11328125,45661.171875,43402.80859375,44347.80078125,32142048537,BTC-USD
2022-02-11,42407.9375,43810.83203125,42114.5390625,43571.12890625,26954925781,BTC-USD
2022-02-12,42244.46875,42992.55078125,41852.57421875,42412.30078125,18152390304,BTC-USD
2022-02-13,42197.515625,42693.0546875,41950.94140625,42236.56640625,14741589015,BTC-USD
2022-02-14,42586.91796875,42775.77734375,41681.95703125,42157.3984375,20827783012,BTC-USD
2022-02-15,44575.203125,44667.21875,42491.03515625,42586.46484375,22721659051,BTC-USD
2022-02-16,43961.859375,44578.27734375,43456.69140625,44578.27734375,19792547657,BTC-USD
2022-02-17,40538.01171875,44132.97265625,40249.37109375,43937.0703125,26246662813,BTC-USD
2022-02-18,40030.9765625,40929.15234375,39637.6171875,40552.1328125,23310007704,BTC-USD
2022-02-19,40122.15625,40418.87890625,39713.05859375,40026.0234375,13736557863,BTC-USD
2022-02-20,38431.37890625,40119.890625,38112.8125,40118.1015625,18340576452,BTC-USD
2022-02-21,37075.28125,39394.4375,36950.4765625,38423.2109375,29280402798,BTC-USD
2022-02-22,38286.02734375,38359.85546875,36488.93359375,37068.76953125,25493150450,BTC-USD
2022-02-23,37296.5703125,39122.39453125,37201.81640625,38285.28125,21849073843,BTC-USD
2022-02-24,38332.609375,38968.83984375,34459.21875,37278.56640625,46383802093,BTC-USD
2022-02-25,39214.21875,39630.32421875,38111.34375,38333.74609375,26545599159,BTC-USD
2022-02-26,39105.1484375,40005.34765625,38702.53515625,39213.08203125,17467554129,BTC-USD
2022-02-27,37709.78515625,39778.94140625,37268.9765625,39098.69921875,23450127612,BTC-USD
2022-02-28,43193.234375,43760.45703125,37518.21484375,37706.0,35690014104,BTC-USD
2022-03-01,44354.63671875,44793.6015625,42952.5859375,43194.50390625,32479047645,BTC-USD
2022-03-02,43924.1171875,45077.578125,43432.8515625,44357.6171875,29183112630,BTC-USD
2022-03-03,42451.7890625,44021.578125,41914.75,43925.1953125,24967782593,BTC-USD
2022-03-04,39137.60546875,42479.61328125,38805.84765625,42458.140625,28516271427,BTC-USD
2022-03-05,39400.5859375,39566.3359375,38777.03515625,39148.44921875,16975917450,BTC-USD
2022-03-06,38419.984375,39640.17578125,38211.6484375,39404.19921875,19745229902,BTC-USD
2022-03-07,38062.0390625,39430.2265625,37260.203125,38429.3046875,28546143503,BTC-USD
2022-03-08,38737.26953125,39304.44140625,37957.38671875,38059.90234375,25776583476,BTC-USD
2022-03-09,41982.92578125,42465.671875,38706.09375,38742.81640625,32284121034,BTC-USD
2022-03-10,39437.4609375,42004.7265625,38832.94140625,41974.0703125,31078064711,BTC-USD
2022-03-11,38794.97265625,40081.6796875,38347.43359375,39439.96875,26364890465,BTC-USD
2022-03-12,38904.01171875,39308.59765625,38772.53515625,38794.46484375,14616450657,BTC-USD
2022-03-13,37849.6640625,39209.3515625,37728.14453125,38884.7265625,17300745310,BTC-USD
2022-03-14,39666.75390625,39742.5,37680.734375,37846.31640625,24322159070,BTC-USD
2022-03-15,39338.78515625,39794.62890625,38310.2109375,39664.25,23934000868,BTC-USD
2022-03-16,41143.9296875,41465.453125,39022.34765625,39335.5703125,39616916192,BTC-USD
2022-03-17,40951.37890625,41287.53515625,40662.87109375,41140.84375,22009601093,BTC-USD
2022-03-18,41801.15625,42195.74609375,40302.3984375,40944.83984375,34421564942,BTC-USD
2022-03-19,42190.65234375,42316.5546875,41602.66796875,41794.6484375,19664853187,BTC-USD
2022-03-20,41247.82421875,42241.1640625,41004.7578125,42191.40625,20127946682,BTC-USD
2022-03-21,41077.99609375,41454.41015625,40668.04296875,41246.1328125,24615543271,BTC-USD
2022-03-22,42358.80859375,43124.70703125,40948.28125,41074.10546875,32004652376,BTC-USD
2022-03-23,42892.95703125,42893.5078125,41877.5078125,42364.37890625,25242943069,BTC-USD
2022-03-24,43960.93359375,44131.85546875,42726.1640625,42886.65234375,31042992291,BTC-USD
2022-03-25,44348.73046875,44999.4921875,43706.28515625,43964.546875,30574413034,BTC-USD
2022-03-26,44500.828125,44735.99609375,44166.2734375,44349.859375,16950455995,BTC-USD
2022-03-27,46820.4921875,46827.546875,44437.29296875,44505.35546875,28160889722,BTC-USD
2022-03-28,47128.00390625,48086.8359375,46690.203125,46821.8515625,36362175703,BTC-USD
2022-03-29,47465.73046875,48022.2890625,47100.4375,47100.4375,31397059069,BTC-USD
2022-03-30,47062.6640625,47655.1484375,46746.2109375,47456.8984375,29333883962,BTC-USD
2022-03-31,45538.67578125,47512.02734375,45390.5390625,47062.1484375,33327427106,BTC-USD
2022-04-01,46281.64453125,46616.2421875,44403.140625,45554.1640625,38162644287,BTC-USD
2022-04-02,45868.94921875,47028.28125,45782.51171875,46285.5,29336594194,BTC-USD
2022-04-03,46453.56640625,47313.4765625,45634.10546875,45859.12890625,25414397610,BTC-USD
2022-04-04,46622.67578125,46791.08984375,45235.81640625,46445.2734375,32499785455,BTC-USD
2022-04-05,45555.9921875,47106.140625,45544.80859375,46624.5078125,29640604055,BTC-USD
2022-04-06,43206.73828125,45544.35546875,43193.953125,45544.35546875,39393395788,BTC-USD
2022-04-07,43503.84765625,43860.69921875,42899.90625,43207.5,26101973106,BTC-USD
2022-04-08,42287.6640625,43903.01953125,42183.2890625,43505.13671875,27215995394,BTC-USD
2022-04-09,42782.13671875,42786.81640625,42183.25390625,42282.078125,16050772496,BTC-USD
2022-04-10,42207.671875,43376.37890625,42021.20703125,42781.08984375,17654475582,BTC-USD
2022-04-11,39521.90234375,42424.58984375,39373.05859375,42201.0390625,33949912166,BTC-USD
2022-04-12,40127.18359375,40617.5859375,39388.328125,39533.71484375,30991500854,BTC-USD
2022-04-13,41166.73046875,41430.0546875,39712.74609375,40123.5703125,27691105228,BTC-USD
2022-04-14,39935.515625,41451.48046875,39695.74609375,41160.21875,24342001973,BTC-USD
2022-04-15,40553.46484375,40617.72265625,39866.83203125,39939.40234375,21756855753,BTC-USD
2022-04-16,40424.484375,40633.6796875,40078.42578125,40552.31640625,16833150693,BTC-USD
2022-04-17,39716.953125,40570.7265625,39620.89453125,40417.77734375,19087633042,BTC-USD
2022-04-18,40826.21484375,40986.3203125,38696.19140625,39721.203125,33705182072,BTC-USD
2022-04-19,41502.75,41672.9609375,40618.6328125,40828.17578125,25303206547,BTC-USD
2022-04-20,41374.37890625,42126.30078125,40961.09765625,41501.74609375,27819532341,BTC-USD
2022-04-21,40527.36328125,42893.58203125,40063.828125,41371.515625,35372786395,BTC-USD
2022-04-22,39740.3203125,40777.7578125,39315.41796875,40525.86328125,28011716745,BTC-USD
2022-04-23,39486.73046875,39935.859375,39352.203125,39738.72265625,16138021249,BTC-USD
2022-04-24,39469.29296875,39845.92578125,39233.5390625,39478.375,17964398167,BTC-USD
2022-04-25,40458.30859375,40491.75390625,38338.37890625,39472.60546875,35445730570,BTC-USD
2022-04-26,38117.4609375,40713.890625,37884.984375,40448.421875,34569088416,BTC-USD
2022-04-27,39241.12109375,39397.91796875,37997.3125,38120.30078125,30981015184,BTC-USD
2022-04-28,39773.828125,40269.46484375,38941.421875,39241.4296875,33903704907,BTC-USD
2022-04-29,38609.82421875,39887.26953125,38235.53515625,39768.6171875,30882994649,BTC-USD
2022-04-30,37714.875,38771.2109375,37697.94140625,38605.859375,23895713731,BTC-USD
2022-05-01,38469.09375,38627.859375,37585.7890625,37713.265625,27002760110,BTC-USD
2022-05-02,38529.328125,39074.97265625,38156.5625,38472.1875,32922642426,BTC-USD
2022-05-03,37750.453125,38629.99609375,37585.62109375,38528.109375,27326943244,BTC-USD
2022-05-04,39698.37109375,39902.94921875,37732.05859375,37748.01171875,36754404490,BTC-USD
2022-05-05,36575.140625,39789.28125,35856.515625,39695.74609375,43106256317,BTC-USD
2022-05-06,36040.921875,36624.359375,35482.1328125,36573.18359375,37795577489,BTC-USD
2022-05-07,35501.953125,36129.92578125,34940.82421875,36042.50390625,24375896406,BTC-USD
2022-05-08,34059.265625,35502.94140625,33878.96484375,35502.94140625,36763041910,BTC-USD
2022-05-09,30296.953125,34222.07421875,30296.953125,34060.015625,63355494961,BTC-USD
2022-05-10,31022.90625,32596.30859375,29944.802734375,30273.654296875,59811038817,BTC-USD
2022-05-11,28936.35546875,32013.40234375,28170.4140625,31016.18359375,70388855818,BTC-USD
2022-05-12,29047.751953125,30032.439453125,26350.490234375,28936.734375,66989173272,BTC-USD
2022-05-13,29283.103515625,30924.802734375,28782.330078125,29030.91015625,42841124537,BTC-USD
2022-05-14,30101.265625,30192.802734375,28702.91015625,29285.642578125,28579868620,BTC-USD
2022-05-15,31305.11328125,31308.19140625,29527.740234375,30098.5859375,25835372065,BTC-USD
2022-05-16,29862.91796875,31305.341796875,29251.884765625,31304.375,32613897286,BTC-USD
2022-05-17,30425.857421875,30694.490234375,29570.302734375,29862.408203125,29101473475,BTC-USD
2022-05-18,28720.271484375,30618.716796875,28720.271484375,30424.478515625,31285268319,BTC-USD
2022-05-19,30314.333984375,30430.751953125,28708.955078125,28720.359375,33773447707,BTC-USD
2022-05-20,29200.740234375,30664.9765625,28793.60546875,30311.119140625,30749382605,BTC-USD
2022-05-21,29432.2265625,29588.869140625,29027.39453125,29199.859375,17274840442,BTC-USD
2022-05-22,30323.72265625,30425.861328125,29275.18359375,29432.47265625,21631532270,BTC-USD
2022-05-23,29098.91015625,30590.5859375,28975.560546875,30309.396484375,31483454557,BTC-USD
2022-05-24,29655.5859375,29774.35546875,28786.58984375,29101.125,26616506245,BTC-USD
2022-05-25,29562.361328125,30157.78515625,29384.94921875,29653.134765625,27525063551,BTC-USD
2022-05-26,29267.224609375,29834.16015625,28261.90625,29564.77734375,36774325352,BTC-USD
2022-05-27,28627.57421875,29346.943359375,28326.61328125,29251.140625,36582005748,BTC-USD
